#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
k119_346468_3        -            125 Ribosom_S12_S23      PF00164.20   122   1.4e-57  187.9   1.9   1   1   2.5e-60   1.5e-57  187.7   1.9     1   122     2   123     2   123 0.99 # 666 # 1040 # -1 # ID=14_3;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.467
k119_194065_3        -            982 TIGR00422            TIGR00422    863   1.2e-58  193.9   9.6   6   6   4.9e-19   1.5e-16   54.7   0.1   525   723   755   921   750   971 0.79 # 459 # 3404 # -1 # ID=140_3;partial=00;start_type=TTG;rbs_motif=TAAAAA;rbs_spacer=6bp;gc_cont=0.491
k119_194101_2        -            342 TIGR00422            TIGR00422    863   3.9e-58  192.2   0.1   1   1   1.5e-60   4.5e-58  192.0   0.1   527   862     1   324     1   325 0.91 # 2155 # 3180 # -1 # ID=141_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=13bp;gc_cont=0.457
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /scratch/4420563/a35194d4-0b0a-429a-a026-0144d6d815ff
# Target file:     /home/ins/GenomeAnalysis/output/3_checkm/SRR4342133_qc/bins/SRR4342133_binning.20/genes.faa
# Option settings: hmmsearch --domtblout /home/ins/GenomeAnalysis/output/3_checkm/SRR4342133_qc/bins/SRR4342133_binning.20/hmmer.tree.txt --noali --notextw -E 0.1 --domE 0.1 --cpu 1 /scratch/4420563/a35194d4-0b0a-429a-a026-0144d6d815ff /home/ins/GenomeAnalysis/output/3_checkm/SRR4342133_qc/bins/SRR4342133_binning.20/genes.faa 
# Current dir:     /domus/h1/ins/GenomeAnalysis/code
# Date:            Wed Apr 14 16:16:42 2021
# [ok]
